selection_date,backtest_date,ticker,reason,grok_rank,selection_score,buy_price,sell_price,daily_close,high,low,volume,phase1_return,phase1_win,profit_per_100_shares_phase1,phase2_return,phase2_win,profit_per_100_shares_phase2,phase3_1pct_return,phase3_1pct_win,phase3_1pct_exit_reason,profit_per_100_shares_phase3_1pct,phase3_2pct_return,phase3_2pct_win,phase3_2pct_exit_reason,profit_per_100_shares_phase3_2pct,phase3_3pct_return,phase3_3pct_win,phase3_3pct_exit_reason,profit_per_100_shares_phase3_3pct,prompt_version,data_source,morning_high,morning_low,morning_max_gain_pct,morning_max_drawdown_pct,daily_max_gain_pct,daily_max_drawdown_pct,market_cap,stock_name,categories,sectors,Sector33Code,Date,short_ratio,short_quintile
2025-11-04,2025-11-04,4259.T,2025年10月31日AIテーマ連動ニュース、Xで「11/04ストップ高」投稿急増。10/31出来高2.5倍、ATR 4.2%、値幅9.34%。時価総額220億円、プライム,1,159.0,675.0,665.0,666.0,675.0,646.0,1769700,-0.014814814814814815,False,-1000.0,-0.013333333333333334,False,-900.0,-0.01,False,stop_loss_-1.0%,-675.0,-0.02,False,stop_loss_-2.0%,-1350.0,-0.03,False,stop_loss_-3.0%,-2025.0,v1_1_web_search,5min,675.0,646.0,0.0,-4.296296296296296,0.0,-4.296296296296296,,エクサウィザーズ,テーマ連動+仕手株,情報・通信業,5250,2025-11-04,45.51722409955156,Q5(高)
2025-11-04,2025-11-04,4082.T,"2025年10月31日レアアース材料ニュース報道、Xで「急騰継続」「11/04仕込み」の言及増加（15件以上）。10/31出来高11,522,000株（平均の5倍）、ATR 7.2%、値幅19.9%。時価総額約200億円、テーマ株連動でストップ高可能性",2,152.0,1381.0,1395.0,1365.0,1430.0,1328.0,6250800,0.010137581462708182,True,1400.0,-0.011585807385952208,False,-1600.0,0.01,True,profit_take_1.0%,1381.0,0.02,True,profit_take_2.0%,2762.0,0.03,True,profit_take_3.0%,4143.0,v1_1_web_search,5min,1430.0,1328.0,3.5481535119478638,-3.837798696596669,3.5481535119478638,-3.837798696596669,,第一稀元素化学工業,材料ニュース+テーマ連動,化学,3200,2025-11-04,39.00889737065483,Q3
2025-11-04,2025-11-04,4875.T,"2025年10月31日バイオ関連ニュースで急騰、Xで「ストップ高狙い」の投稿急増（20件以上）。10/31出来高1,712,900株（平均の3倍超）、直近5日ATR 8.5%、値幅28.33%でボラ高。時価総額111億円の小型株で個人投資家バズ、11/04寄付買い期待",3,148.0,209.0,210.0,200.0,217.0,196.0,634100,0.004784688995215311,True,100.0,-0.0430622009569378,False,-900.0,-0.01,False,stop_loss_-1.0%,-209.0,-0.02,False,stop_loss_-2.0%,-418.0,-0.03,False,stop_loss_-3.0%,-627.0,v1_1_web_search,5min,217.0,196.0,3.827751196172249,-6.220095693779904,3.827751196172249,-6.220095693779904,,メディシノバ,バイオ材料+株クラバズ,医薬品,3250,2025-11-04,34.74092728016734,Q1(低)
2025-11-04,2025-11-04,3914.T,"2025年10月31日ITセキュリティニュース連動急騰、X株クラで「小型IT注目」拡散（12件）。10/31出来高366,300株（平均3.8倍）、ATR 5.2%、値幅13.7%。時価総額274億円、Growth市場で仕手筋期待",4,148.0,3920.0,3525.0,3470.0,4000.0,3445.0,152200,-0.10076530612244898,False,-39500.0,-0.11479591836734694,False,-45000.0,0.01,True,profit_take_1.0%,3920.0000000000005,0.02,True,profit_take_2.0%,7840.000000000001,-0.03,False,stop_loss_-3.0%,-11760.0,v1_1_web_search,5min,4000.0,3525.0,2.0408163265306123,-10.076530612244898,2.0408163265306123,-12.11734693877551,,JIG-SAW,テーマ連動+仕手株,情報・通信業,5250,2025-11-04,45.51722409955156,Q5(高)
2025-11-04,2025-11-04,2445.T,2025年10月31日物流関連IR後バズ、X投稿「寄付買い」12件。10/31出来高急増（平均4.2倍）、ATR 6.3%、値幅16.71%。時価総額180億円、プライム小型で流動性高,5,147.0,410.0,409.0,417.0,418.0,405.0,600100,-0.0024390243902439024,False,-100.0,0.01707317073170732,True,700.0,0.01,True,profit_take_1.0%,409.99999999999994,0.014634146341463415,True,hold_until_close,600.0,0.014634146341463415,True,hold_until_close,600.0,v1_1_web_search,5min,415.0,405.0,1.2195121951219512,-1.2195121951219512,1.951219512195122,-1.2195121951219512,,タカミヤ,IR好材料+株クラバズ,サービス業,9050,2025-11-04,37.35884520340016,Q2
2025-11-04,2025-11-04,3997.T,"2025年10月31日業務提携ニュース、Xで「急騰銘柄」言及15件超。10/31出来高2,001,400株（平均4倍）、ATR 6.1%、値幅10.9%。時価総額131億円、ITテーマ連動小型株",6,146.0,338.0,336.0,346.0,368.0,330.0,1567800,-0.005917159763313609,False,-200.0,0.023668639053254437,True,800.0,0.01,True,profit_take_1.0%,338.0,0.02,True,profit_take_2.0%,676.0,0.03,True,profit_take_3.0%,1013.9999999999999,v1_1_web_search,5min,368.0,330.0,8.875739644970414,-2.366863905325444,8.875739644970414,-2.366863905325444,,トレードワークス,ニュース+テーマ連動,情報・通信業,5250,2025-11-04,45.51722409955156,Q5(高)
2025-11-04,2025-11-04,7746.T,"2025年10月31日ガラス素材ニュース連動、Xで「小型急騰」拡散（11件）。10/31出来高29,188,500株（平均6倍超）、ATR 7.8%、値幅12.5%。時価総額125億円、スタンダード市場",7,140.0,433.0,425.0,387.0,457.0,386.0,10797100,-0.018475750577367205,False,-800.0,-0.10623556581986143,False,-4600.0,0.01,True,profit_take_1.0%,433.0,0.02,True,profit_take_2.0%,866.0,0.03,True,profit_take_3.0%,1299.0,v1_1_web_search,5min,457.0,423.0,5.542725173210162,-2.3094688221709005,5.542725173210162,-10.854503464203233,,岡本硝子,テーマ連動+株クラバズ,精密機器,3750,2025-11-04,42.84127148762555,Q4
2025-11-04,2025-11-04,9552.T,2025年10月31日M&Aニュースで急騰、Xで有名投資家言及（フォロワー1万超）。10/31出来高2倍超、ATR 4.5%、値幅12.8%。時価総額250億円、スタンダード,8,133.0,1265.0,1352.0,1343.0,1400.0,1264.0,1469600,0.06877470355731226,True,8700.0,0.0616600790513834,True,7800.0,0.01,True,profit_take_1.0%,1265.0,0.02,True,profit_take_2.0%,2530.0,0.03,True,profit_take_3.0%,3794.9999999999995,v1_1_web_search,5min,1400.0,1264.0,10.67193675889328,-0.07905138339920949,10.67193675889328,-0.07905138339920949,,M&A総研ホールディングス,ニュース+仕手株,サービス業,9050,2025-11-04,37.35884520340016,Q2
2025-11-04,2025-11-04,1798.T,"2025年10月31日引け後第2四半期決算上方修正IR発表（経常利益43.2%増）、Xで「好決算バズ」投稿10件超。10/31出来高34,200株（平均2.5倍）、ATR 4.1%、値幅21.7%。時価総額145億円、地熱・核融合テーマ連動",9,105.0,6720.0,7020.0,7060.0,7200.0,6560.0,22200,0.044642857142857144,True,30000.0,0.050595238095238096,True,34000.0,-0.01,False,stop_loss_-1.0%,-6720.0,-0.02,False,stop_loss_-2.0%,-13440.0,0.03,True,profit_take_3.0%,20160.0,v1_1_web_search,5min,7200.0,6560.0,7.142857142857142,-2.380952380952381,7.142857142857142,-2.380952380952381,,守谷商会,IR好材料+テーマ株,建設業,2050,2025-11-04,38.43956611871525,Q3
2025-11-04,2025-11-04,2743.T,"2025年10月31日中間決算IR（AIインフラ投資発表）、Xで「仕手株」投稿増加（9件）。10/31出来高1,951,600株（平均3.5倍）、ATR 5.5%、値幅6.61%。時価総額120億円、Growthで急騰期待",10,94.0,122.0,116.0,112.0,122.0,111.0,1510200,-0.04918032786885246,False,-600.0,-0.08196721311475409,False,-1000.0,-0.01,False,stop_loss_-1.0%,-122.0,-0.02,False,stop_loss_-2.0%,-244.0,-0.03,False,stop_loss_-3.0%,-365.99999999999994,v1_1_web_search,5min,122.0,115.0,0.0,-5.737704918032787,0.0,-9.01639344262295,,ピクセルカンパニーズ,IR好材料+仕手株,卸売業,6050,2025-11-04,48.95850212527327,Q5(高)
